text,label
"Dear Alex, your meeting is scheduled for tomorrow at 10 AM. Please bring the project report.",Safe Email
"Hi Sam, please find the attached monthly performance report for review.",Safe Email
Thank you for your purchase. Your order has been shipped and will arrive on Friday.,Safe Email
"Hello John, here is the weekly project update. Please review the attached document.",Safe Email
Reminder: our team meeting is scheduled for 2 PM tomorrow. Please be prepared.,Safe Email
"Dear Morgan, welcome to our newsletter. We hope you enjoy this month's updates.",Safe Email
"Hi Taylor, it was great meeting you at the conference. Let's catch up next week.",Safe Email
Your invoice is available in the customer portal. Please review it during business hours.,Safe Email
"Dear Casey, your subscription has been successfully renewed. Thank you for your support.",Safe Email
Please find the minutes from our last meeting attached. Let me know if you have questions.,Safe Email
Congratulations! You won a $3000 gift card. Click here immediately to claim your prize: http://claim-prize.example.xyz,Phishing Email
Urgent security alert! Verify your bank account now by clicking http://secure-login.example.top,Phishing Email
Your account will be suspended today. Confirm your password and personal information immediately.,Phishing Email
Your package is pending. Provide your personal information to confirm delivery at http://delivery-check.example.click,Phishing Email
Unusual login detected. Verify your account now or it will be locked.,Phishing Email
Your payment was declined. Update your billing details immediately using this link: http://billing.example.xyz,Phishing Email
You have a secure bank message. Click here to verify your login and password.,Phishing Email
Your subscription expires today. Renew immediately to avoid service interruption.,Phishing Email
Congratulations winner! Claim your free prize now. Limited time offer.,Phishing Email
Your account has been compromised. Reset your password immediately using http://reset.example.top,Phishing Email
"Dear Jordan, your project review is confirmed for Monday at 11 AM.",Safe Email
"Hi Chris, the quarterly report is ready for your review.",Safe Email
Thanks for registering for our webinar. The event begins at 3 PM on Friday.,Safe Email
Your order confirmation is available in your account. Thank you for shopping with us.,Safe Email
"Hello Drew, please review the attached agenda before our team meeting.",Safe Email
Reminder: your library books are due next week. Please return them on time.,Safe Email
"Hi Jane, thanks for your message. I will send the requested document tomorrow.",Safe Email
Your electricity bill is available in your official customer portal.,Safe Email
"Dear Taylor, your appointment is confirmed for Wednesday at 4 PM.",Safe Email
"Hello Morgan, the requested project files have been uploaded to the shared drive.",Safe Email
URGENT! Your bank account is blocked. Verify your PIN and password at http://bank-help.example.gq,Phishing Email
You have won a free smartphone. Pay a small fee now to receive your prize.,Phishing Email
Security warning: confirm your identity and OTP immediately or your account will be suspended.,Phishing Email
Refund available! Submit your card number and password now to receive your refund.,Phishing Email
Click here to unlock your account immediately: http://unlock.example.tk,Phishing Email
Final notice: your email account will expire today. Verify your credentials now.,Phishing Email
Your payroll payment is waiting. Confirm your bank details and OTP to receive it.,Phishing Email
Limited time reward! Claim your gift card by entering your personal information.,Phishing Email
